data_width,data_height,rounds,noise,circuit_style,preserved_observable,code_distance,num_qubits,num_shots,num_correct,total_processing_seconds,decoder,version
14,21,22,0.0015,bounded_honeycomb_memory_EM3_v3,H,7,294,100000000,99999692,35148.8412911552,internal,2
14,21,22,0.0015,bounded_honeycomb_memory_EM3_v3,H,7,294,100000000,99999963,35558.32789612096,internal_correlated,2
18,27,28,0.0015,bounded_honeycomb_memory_EM3_v3,H,9,486,100000000,99999989,39235.8595942352,internal,2
18,27,28,0.0015,bounded_honeycomb_memory_EM3_v3,H,9,486,100000000,99999999,42448.28727801866,internal_correlated,2
22,33,34,0.0015,bounded_honeycomb_memory_EM3_v3,H,11,726,100000000,100000000,47006.20372435148,internal,2
22,33,34,0.0015,bounded_honeycomb_memory_EM3_v3,H,11,726,100000000,100000000,55710.19552329392,internal_correlated,2
6,9,10,0.002,bounded_honeycomb_memory_EM3_v3,H,3,54,302300,301100,457.253312677145,internal,2
6,9,10,0.002,bounded_honeycomb_memory_EM3_v3,H,3,54,502300,501239,281.29018818284385,internal_correlated,2
10,15,16,0.002,bounded_honeycomb_memory_EM3_v3,H,5,150,4302300,4301283,1350.746961560566,internal,2
10,15,16,0.002,bounded_honeycomb_memory_EM3_v3,H,5,150,17802300,17801298,4872.494463386945,internal_correlated,2
14,21,22,0.002,bounded_honeycomb_memory_EM3_v3,H,7,294,78302300,78301300,27628.89108351455,internal,2
14,21,22,0.002,bounded_honeycomb_memory_EM3_v3,H,7,294,100000000,99999869,37781.03283772105,internal_correlated,2
18,27,28,0.002,bounded_honeycomb_memory_EM3_v3,H,9,486,100000000,99999944,40888.81594195962,internal,2
18,27,28,0.002,bounded_honeycomb_memory_EM3_v3,H,9,486,100000000,99999997,46539.726173430216,internal_correlated,2
22,33,34,0.002,bounded_honeycomb_memory_EM3_v3,H,11,726,100000000,99999997,52339.191960402066,internal,2
22,33,34,0.002,bounded_honeycomb_memory_EM3_v3,H,11,726,100000000,100000000,61701.924543370726,internal_correlated,2
6,9,10,0.003,bounded_honeycomb_memory_EM3_v3,H,3,54,202300,200517,218.72850514692254,internal,2
6,9,10,0.003,bounded_honeycomb_memory_EM3_v3,H,3,54,202300,201229,221.1490306085907,internal_correlated,2
10,15,16,0.003,bounded_honeycomb_memory_EM3_v3,H,5,150,1102300,1101213,494.7440636092797,internal,2
10,15,16,0.003,bounded_honeycomb_memory_EM3_v3,H,5,150,4202300,4201298,1391.9912688499317,internal_correlated,2
14,21,22,0.003,bounded_honeycomb_memory_EM3_v3,H,7,294,9902300,9901298,3308.3965719079133,internal,2
14,21,22,0.003,bounded_honeycomb_memory_EM3_v3,H,7,294,88902300,88901300,36106.53779826616,internal_correlated,2
18,27,28,0.003,bounded_honeycomb_memory_EM3_v3,H,9,486,100000000,99999071,46832.01048427983,internal,2
18,27,28,0.003,bounded_honeycomb_memory_EM3_v3,H,9,486,100000000,99999955,52412.470437516226,internal_correlated,2
22,33,34,0.003,bounded_honeycomb_memory_EM3_v3,H,11,726,100000000,99999933,59011.83127681981,internal,2
22,33,34,0.003,bounded_honeycomb_memory_EM3_v3,H,11,726,100000000,99999997,74379.94850520906,internal_correlated,2
6,9,10,0.005,bounded_honeycomb_memory_EM3_v3,H,3,54,51100,49775,220.67294439510442,internal,2
6,9,10,0.005,bounded_honeycomb_memory_EM3_v3,H,3,54,102300,100640,219.5765428498853,internal_correlated,2
10,15,16,0.005,bounded_honeycomb_memory_EM3_v3,H,5,150,202300,201131,313.60131513816305,internal,2
10,15,16,0.005,bounded_honeycomb_memory_EM3_v3,H,5,150,602300,601194,449.4584959188942,internal_correlated,2
14,21,22,0.005,bounded_honeycomb_memory_EM3_v3,H,7,294,802300,801263,586.9906766409986,internal,2
14,21,22,0.005,bounded_honeycomb_memory_EM3_v3,H,7,294,4802300,4801287,2472.274777452927,internal_correlated,2
18,27,28,0.005,bounded_honeycomb_memory_EM3_v3,H,9,486,3402300,3401291,2433.341107297223,internal,2
18,27,28,0.005,bounded_honeycomb_memory_EM3_v3,H,9,486,45802300,45801297,35760.236140822526,internal_correlated,2
22,33,34,0.005,bounded_honeycomb_memory_EM3_v3,H,11,726,17002300,17001300,17580.341960782884,internal,2
22,33,34,0.005,bounded_honeycomb_memory_EM3_v3,H,11,726,100000000,99999749,112587.13297895412,internal_correlated,2
6,9,10,0.007,bounded_honeycomb_memory_EM3_v3,H,3,54,25500,24212,180.10046108672395,internal,2
6,9,10,0.007,bounded_honeycomb_memory_EM3_v3,H,3,54,51100,49426,214.13591765472665,internal_correlated,2
10,15,16,0.007,bounded_honeycomb_memory_EM3_v3,H,5,150,51100,50095,296.8084515957162,internal,2
10,15,16,0.007,bounded_honeycomb_memory_EM3_v3,H,5,150,202300,200845,366.9244011947885,internal_correlated,2
14,21,22,0.007,bounded_honeycomb_memory_EM3_v3,H,7,294,202300,200759,419.1047530081123,internal,2
14,21,22,0.007,bounded_honeycomb_memory_EM3_v3,H,7,294,702300,701271,766.1302371367346,internal_correlated,2
18,27,28,0.007,bounded_honeycomb_memory_EM3_v3,H,9,486,402300,401177,862.7883180675562,internal,2
18,27,28,0.007,bounded_honeycomb_memory_EM3_v3,H,9,486,3302300,3301292,4288.978422183311,internal_correlated,2
22,33,34,0.007,bounded_honeycomb_memory_EM3_v3,H,11,726,1002300,1001288,2434.7816744237207,internal,2
22,33,34,0.007,bounded_honeycomb_memory_EM3_v3,H,11,726,16602300,16601295,38938.69639221439,internal_correlated,2
6,9,10,0.01,bounded_honeycomb_memory_EM3_v3,H,3,54,12700,11479,187.64433517120779,internal,2
6,9,10,0.01,bounded_honeycomb_memory_EM3_v3,H,3,54,25500,23715,222.05887375958264,internal_correlated,2
10,15,16,0.01,bounded_honeycomb_memory_EM3_v3,H,5,150,25500,23815,289.0268913852051,internal,2
10,15,16,0.01,bounded_honeycomb_memory_EM3_v3,H,5,150,51100,49621,303.92522599268705,internal_correlated,2
14,21,22,0.01,bounded_honeycomb_memory_EM3_v3,H,7,294,25500,24323,346.60694547276944,internal,2
14,21,22,0.01,bounded_honeycomb_memory_EM3_v3,H,7,294,102300,101066,493.8729833411053,internal_correlated,2
18,27,28,0.01,bounded_honeycomb_memory_EM3_v3,H,9,486,51100,49685,605.4552050570492,internal,2
18,27,28,0.01,bounded_honeycomb_memory_EM3_v3,H,9,486,202300,201250,1060.366198841948,internal_correlated,2
22,33,34,0.01,bounded_honeycomb_memory_EM3_v3,H,11,726,102300,100310,1062.9127783325966,internal,2
