data_width,data_height,rounds,noise,circuit_style,preserved_observable,code_distance,num_qubits,num_shots,num_correct,total_processing_seconds,decoder,version
10,15,16,0.002,bounded_honeycomb_memory_EM3_v2,H,5,150,14502300,14501296,972.167640899308,internal_correlated,2
14,21,22,0.002,bounded_honeycomb_memory_EM3_v2,H,7,294,72202300,72201300,9425.300701877568,internal,2
14,21,22,0.002,bounded_honeycomb_memory_EM3_v2,H,7,294,100000000,99999843,17900.11019538199,internal_correlated,2
18,27,28,0.002,bounded_honeycomb_memory_EM3_v2,H,9,486,100000000,99999931,25085.69676981603,internal,2
18,27,28,0.002,bounded_honeycomb_memory_EM3_v2,H,9,486,100000000,99999997,34923.4222813401,internal_correlated,2
22,33,34,0.002,bounded_honeycomb_memory_EM3_v2,H,11,726,100000000,99999997,39537.105625031414,internal,2
22,33,34,0.002,bounded_honeycomb_memory_EM3_v2,H,11,726,100013800,100013800,49937.824093396004,internal_correlated,2
6,9,10,0.003,bounded_honeycomb_memory_EM3_v2,H,3,54,204600,202235,6.333148777994211,internal,2
6,9,10,0.003,bounded_honeycomb_memory_EM3_v2,H,3,54,404600,401994,16.688919636995706,internal_correlated,2
10,15,16,0.003,bounded_honeycomb_memory_EM3_v2,H,5,150,1804600,1802552,108.79260496796633,internal,2
10,15,16,0.003,bounded_honeycomb_memory_EM3_v2,H,5,150,5202300,5200608,553.9193670409659,internal_correlated,2
14,21,22,0.003,bounded_honeycomb_memory_EM3_v2,H,7,294,11202300,11201056,2304.724655479913,internal,2
14,21,22,0.003,bounded_honeycomb_memory_EM3_v2,H,7,294,67202300,67201267,21569.278640353878,internal_correlated,2
18,27,28,0.003,bounded_honeycomb_memory_EM3_v2,H,9,486,100000000,99999048,38120.758028434895,internal,2
18,27,28,0.003,bounded_honeycomb_memory_EM3_v2,H,9,486,100000000,99999931,61036.32771907534,internal_correlated,2
22,33,34,0.003,bounded_honeycomb_memory_EM3_v2,H,11,726,100000000,99999915,79759.68441549409,internal,2
22,33,34,0.003,bounded_honeycomb_memory_EM3_v2,H,11,726,100000000,99999997,116201.9805131286,internal_correlated,2
6,9,10,0.005,bounded_honeycomb_memory_EM3_v2,H,3,54,102200,98889,8.22911793700041,internal,2
6,9,10,0.005,bounded_honeycomb_memory_EM3_v2,H,3,54,102200,99979,9.369414141982816,internal_correlated,2
10,15,16,0.005,bounded_honeycomb_memory_EM3_v2,H,5,150,404600,401697,43.73546924998027,internal,2
10,15,16,0.005,bounded_honeycomb_memory_EM3_v2,H,5,150,804600,802500,115.4604765959948,internal_correlated,2
14,21,22,0.005,bounded_honeycomb_memory_EM3_v2,H,7,294,1404600,1402439,395.0156395999493,internal,2
14,21,22,0.005,bounded_honeycomb_memory_EM3_v2,H,7,294,5702300,5700724,2581.06432384004,internal_correlated,2
18,27,28,0.005,bounded_honeycomb_memory_EM3_v2,H,9,486,4902300,4900611,3948.6068577249935,internal,2
18,27,28,0.005,bounded_honeycomb_memory_EM3_v2,H,9,486,35802300,35801239,38501.22288849295,internal_correlated,2
22,33,34,0.005,bounded_honeycomb_memory_EM3_v2,H,11,726,16702300,16701159,24585.83312695699,internal,2
22,33,34,0.005,bounded_honeycomb_memory_EM3_v2,H,11,726,100000000,99999696,228764.51154445123,internal_correlated,2
6,9,10,0.007,bounded_honeycomb_memory_EM3_v2,H,3,54,51000,47724,7.2344594130318,internal,2
6,9,10,0.007,bounded_honeycomb_memory_EM3_v2,H,3,54,51000,48731,13.712964236951848,internal_correlated,2
10,15,16,0.007,bounded_honeycomb_memory_EM3_v2,H,5,150,102200,99715,26.140373280983567,internal,2
10,15,16,0.007,bounded_honeycomb_memory_EM3_v2,H,5,150,304600,301578,57.60622008499786,internal_correlated,2
14,21,22,0.007,bounded_honeycomb_memory_EM3_v2,H,7,294,404600,401067,174.1425626199898,internal,2
14,21,22,0.007,bounded_honeycomb_memory_EM3_v2,H,7,294,1106900,1104658,694.8622634169669,internal_correlated,2
18,27,28,0.007,bounded_honeycomb_memory_EM3_v2,H,9,486,658000,655835,832.6259887839733,internal,2
18,27,28,0.007,bounded_honeycomb_memory_EM3_v2,H,9,486,4502300,4500463,9667.718273638986,internal_correlated,2
22,33,34,0.007,bounded_honeycomb_memory_EM3_v2,H,11,726,1810900,1808743,5240.873868128037,internal,2
22,33,34,0.007,bounded_honeycomb_memory_EM3_v2,H,11,726,15802300,15801142,63610.007889433036,internal_correlated,2
6,9,10,0.01,bounded_honeycomb_memory_EM3_v2,H,3,54,25400,22231,10.07129870601375,internal,2
6,9,10,0.01,bounded_honeycomb_memory_EM3_v2,H,3,54,25400,22895,6.043496136989688,internal_correlated,2
10,15,16,0.01,bounded_honeycomb_memory_EM3_v2,H,5,150,38200,35145,19.38588901699677,internal,2
10,15,16,0.01,bounded_honeycomb_memory_EM3_v2,H,5,150,51000,48871,28.13693008999826,internal_correlated,2
14,21,22,0.01,bounded_honeycomb_memory_EM3_v2,H,7,294,51000,48288,67.69467365397804,internal,2
14,21,22,0.01,bounded_honeycomb_memory_EM3_v2,H,7,294,204600,201191,244.0902588160252,internal_correlated,2
18,27,28,0.01,bounded_honeycomb_memory_EM3_v2,H,9,486,102200,98782,270.9587033689936,internal,2
18,27,28,0.01,bounded_honeycomb_memory_EM3_v2,H,9,486,430100,427310,1464.3194194649905,internal_correlated,2
22,33,34,0.01,bounded_honeycomb_memory_EM3_v2,H,11,726,108500,106186,705.0333178320016,internal,2
22,33,34,0.01,bounded_honeycomb_memory_EM3_v2,H,11,726,806900,804753,6945.651592420997,internal_correlated,2
6,9,10,0.015,bounded_honeycomb_memory_EM3_v2,H,3,54,12600,9541,3.26342247102653,internal,2
6,9,10,0.015,bounded_honeycomb_memory_EM3_v2,H,3,54,12600,10008,3.4560759670168864,internal_correlated,2
10,15,16,0.015,bounded_honeycomb_memory_EM3_v2,H,5,150,12600,9538,11.03564068399298,internal,2
10,15,16,0.015,bounded_honeycomb_memory_EM3_v2,H,5,150,12600,10504,13.89209548099116,internal_correlated,2
14,21,22,0.015,bounded_honeycomb_memory_EM3_v2,H,7,294,12600,9417,29.875046291030117,internal,2
14,21,22,0.015,bounded_honeycomb_memory_EM3_v2,H,7,294,25400,21872,67.32054096201855,internal_correlated,2
18,27,28,0.015,bounded_honeycomb_memory_EM3_v2,H,9,486,12600,9229,109.94401686000151,internal,2
18,27,28,0.015,bounded_honeycomb_memory_EM3_v2,H,9,486,25400,22500,274.3400990520249,internal_correlated,2
22,33,34,0.015,bounded_honeycomb_memory_EM3_v2,H,11,726,12600,9123,273.5616910749768,internal,2
22,33,34,0.015,bounded_honeycomb_memory_EM3_v2,H,11,726,25400,22967,653.5583052959983,internal_correlated,2
6,9,10,0.02,bounded_honeycomb_memory_EM3_v2,H,3,54,6200,3995,2.5873456620091275,internal,2
6,9,10,0.02,bounded_honeycomb_memory_EM3_v2,H,3,54,9400,6412,3.429171774007038,internal_correlated,2
10,15,16,0.02,bounded_honeycomb_memory_EM3_v2,H,5,150,6200,3703,10.878875791004518,internal,2
10,15,16,0.02,bounded_honeycomb_memory_EM3_v2,H,5,150,6200,4113,13.767302764997567,internal_correlated,2
14,21,22,0.02,bounded_honeycomb_memory_EM3_v2,H,7,294,6200,3567,27.73551661698673,internal,2
14,21,22,0.02,bounded_honeycomb_memory_EM3_v2,H,7,294,6200,3996,38.98682489798962,internal_correlated,2
18,27,28,0.02,bounded_honeycomb_memory_EM3_v2,H,9,486,6200,3304,115.15900294300866,internal,2
18,27,28,0.02,bounded_honeycomb_memory_EM3_v2,H,9,486,6200,3798,152.95241258999738,internal_correlated,2
22,33,34,0.02,bounded_honeycomb_memory_EM3_v2,H,11,726,6200,3188,237.53062823497385,internal,2
22,33,34,0.02,bounded_honeycomb_memory_EM3_v2,H,11,726,6200,3622,381.6757238679968,internal_correlated,2
6,9,10,0.03,bounded_honeycomb_memory_EM3_v2,H,3,54,6200,3256,3.6673861469789593,internal,2
6,9,10,0.03,bounded_honeycomb_memory_EM3_v2,H,3,54,6200,3337,3.8428887489918746,internal_correlated,2
10,15,16,0.03,bounded_honeycomb_memory_EM3_v2,H,5,150,6200,3093,10.340493245012441,internal,2
10,15,16,0.03,bounded_honeycomb_memory_EM3_v2,H,5,150,6200,3144,13.838325705997754,internal_correlated,2
14,21,22,0.03,bounded_honeycomb_memory_EM3_v2,H,7,294,6200,3066,29.74144966298886,internal,2
14,21,22,0.03,bounded_honeycomb_memory_EM3_v2,H,7,294,6200,3157,51.066295341987214,internal_correlated,2
18,27,28,0.03,bounded_honeycomb_memory_EM3_v2,H,9,486,6200,3137,122.62736305101006,internal,2
18,27,28,0.03,bounded_honeycomb_memory_EM3_v2,H,9,486,6200,3106,263.0956341380169,internal_correlated,2
22,33,34,0.03,bounded_honeycomb_memory_EM3_v2,H,11,726,6200,3112,396.6073996770075,internal,2
22,33,34,0.03,bounded_honeycomb_memory_EM3_v2,H,11,726,6200,3136,736.4339181149842,internal_correlated,2
6,9,10,0.0001,bounded_honeycomb_memory_EM3_v2,V,3,54,100000000,99999282,21718.819452526994,internal,2
6,9,10,0.0001,bounded_honeycomb_memory_EM3_v2,V,3,54,100000000,99999667,21863.487664647313,internal_correlated,2
10,15,16,0.0001,bounded_honeycomb_memory_EM3_v2,V,5,150,100000000,100000000,23922.44789505977,internal,2
10,15,16,0.0001,bounded_honeycomb_memory_EM3_v2,V,5,150,100000000,100000000,23993.29427311223,internal_correlated,2
14,21,22,0.0001,bounded_honeycomb_memory_EM3_v2,V,7,294,100000000,100000000,26331.230093114515,internal,2
14,21,22,0.0001,bounded_honeycomb_memory_EM3_v2,V,7,294,100000000,100000000,26951.439636008203,internal_correlated,2
18,27,28,0.0001,bounded_honeycomb_memory_EM3_v2,V,9,486,100000000,100000000,29416.146497948066,internal,2
18,27,28,0.0001,bounded_honeycomb_memory_EM3_v2,V,9,486,100000000,100000000,31226.36653553114,internal_correlated,2
22,33,34,0.0001,bounded_honeycomb_memory_EM3_v2,V,11,726,100000000,100000000,33581.355757474055,internal,2
22,33,34,0.0001,bounded_honeycomb_memory_EM3_v2,V,11,726,100000000,100000000,35217.54429208799,internal_correlated,2
6,9,10,0.0002,bounded_honeycomb_memory_EM3_v2,V,3,54,35302300,35301299,550.7106464738754,internal,2
6,9,10,0.0002,bounded_honeycomb_memory_EM3_v2,V,3,54,74902300,74901300,1124.5901546384848,internal_correlated,2
10,15,16,0.0002,bounded_honeycomb_memory_EM3_v2,V,5,150,100000000,99999995,2174.617639096279,internal,2
10,15,16,0.0002,bounded_honeycomb_memory_EM3_v2,V,5,150,100000000,99999999,2898.4493986446905,internal_correlated,2
14,21,22,0.0002,bounded_honeycomb_memory_EM3_v2,V,7,294,100000000,100000000,5073.2052540734585,internal,2
14,21,22,0.0002,bounded_honeycomb_memory_EM3_v2,V,7,294,100000000,100000000,6746.881906033857,internal_correlated,2
18,27,28,0.0002,bounded_honeycomb_memory_EM3_v2,V,9,486,100000000,100000000,9614.3383386645,internal,2
18,27,28,0.0002,bounded_honeycomb_memory_EM3_v2,V,9,486,100000000,100000000,10752.09579400852,internal_correlated,2
22,33,34,0.0002,bounded_honeycomb_memory_EM3_v2,V,11,726,100000000,100000000,18340.208121045216,internal,2
22,33,34,0.0002,bounded_honeycomb_memory_EM3_v2,V,11,726,100000000,100000000,16270.75290327995,internal_correlated,2
6,9,10,0.0003,bounded_honeycomb_memory_EM3_v2,V,3,54,15638300,15637251,9005.496665053928,internal,2
6,9,10,0.0003,bounded_honeycomb_memory_EM3_v2,V,3,54,32638300,32637283,17867.78655620321,internal_correlated,2
10,15,16,0.0003,bounded_honeycomb_memory_EM3_v2,V,5,150,100000000,99999986,50596.42367828793,internal,2
10,15,16,0.0003,bounded_honeycomb_memory_EM3_v2,V,5,150,100000000,99999996,47991.64063193592,internal_correlated,2
14,21,22,0.0003,bounded_honeycomb_memory_EM3_v2,V,7,294,100000000,100000000,48933.430155134,internal,2
14,21,22,0.0003,bounded_honeycomb_memory_EM3_v2,V,7,294,100000000,100000000,49451.08332275793,internal_correlated,2
18,27,28,0.0003,bounded_honeycomb_memory_EM3_v2,V,9,486,100000000,100000000,47914.41759491975,internal,2
18,27,28,0.0003,bounded_honeycomb_memory_EM3_v2,V,9,486,100000000,100000000,47494.70294697082,internal_correlated,2
22,33,34,0.0003,bounded_honeycomb_memory_EM3_v2,V,11,726,100000000,100000000,47570.24169247589,internal,2
22,33,34,0.0003,bounded_honeycomb_memory_EM3_v2,V,11,726,100000000,100000000,50321.91022778083,internal_correlated,2
6,9,10,0.0005,bounded_honeycomb_memory_EM3_v2,V,3,54,6638300,6637168,15920.552550792985,internal,2
6,9,10,0.0005,bounded_honeycomb_memory_EM3_v2,V,3,54,11638300,11637220,18380.582813582747,internal_correlated,2
10,15,16,0.0005,bounded_honeycomb_memory_EM3_v2,V,5,150,100000000,99999911,68445.14956424871,internal,2
10,15,16,0.0005,bounded_honeycomb_memory_EM3_v2,V,5,150,100000000,99999990,69715.11683714612,internal_correlated,2
14,21,22,0.0005,bounded_honeycomb_memory_EM3_v2,V,7,294,100000000,100000000,72286.47096384717,internal,2
14,21,22,0.0005,bounded_honeycomb_memory_EM3_v2,V,7,294,100000000,100000000,73595.89466446426,internal_correlated,2
18,27,28,0.0005,bounded_honeycomb_memory_EM3_v2,V,9,486,100000000,100000000,75541.43362324616,internal,2
18,27,28,0.0005,bounded_honeycomb_memory_EM3_v2,V,9,486,100000000,100000000,77911.5756133172,internal_correlated,2
22,33,34,0.0005,bounded_honeycomb_memory_EM3_v2,V,11,726,100000000,100000000,71551.35419304606,internal,2
22,33,34,0.0005,bounded_honeycomb_memory_EM3_v2,V,11,726,100000000,100000000,73647.70162045282,internal_correlated,2
6,9,10,0.0007,bounded_honeycomb_memory_EM3_v2,V,3,54,2819100,2818080,3307.3090275378636,internal,2
6,9,10,0.0007,bounded_honeycomb_memory_EM3_v2,V,3,54,5638300,5637223,4196.529052935177,internal_correlated,2
10,15,16,0.0007,bounded_honeycomb_memory_EM3_v2,V,5,150,100000000,99999747,50032.88096628622,internal,2
10,15,16,0.0007,bounded_honeycomb_memory_EM3_v2,V,5,150,100000000,99999947,50799.67437043828,internal_correlated,2
14,21,22,0.0007,bounded_honeycomb_memory_EM3_v2,V,7,294,100000000,100000000,53679.686246411424,internal,2
14,21,22,0.0007,bounded_honeycomb_memory_EM3_v2,V,7,294,100000000,100000000,55002.15660666872,internal_correlated,2
18,27,28,0.0007,bounded_honeycomb_memory_EM3_v2,V,9,486,100000000,100000000,60007.8817771677,internal,2
18,27,28,0.0007,bounded_honeycomb_memory_EM3_v2,V,9,486,100000000,100000000,63866.835731302956,internal_correlated,2
22,33,34,0.0007,bounded_honeycomb_memory_EM3_v2,V,11,726,100000000,100000000,72664.6227289224,internal,2
22,33,34,0.0007,bounded_honeycomb_memory_EM3_v2,V,11,726,100000000,100000000,79310.22627944218,internal_correlated,2
6,9,10,0.001,bounded_honeycomb_memory_EM3_v2,V,3,54,1302300,1301232,35.158115094018285,internal,2
6,9,10,0.001,bounded_honeycomb_memory_EM3_v2,V,3,54,2819100,2817968,48.91833711299114,internal_correlated,2
10,15,16,0.001,bounded_honeycomb_memory_EM3_v2,V,5,150,100000000,99999056,33161.118846276266,internal,2
10,15,16,0.001,bounded_honeycomb_memory_EM3_v2,V,5,150,100000000,99999787,36116.24963999605,internal_correlated,2
14,21,22,0.001,bounded_honeycomb_memory_EM3_v2,V,7,294,100000000,99999993,39574.97534881219,internal,2
14,21,22,0.001,bounded_honeycomb_memory_EM3_v2,V,7,294,100000000,99999999,42357.2694041113,internal_correlated,2
18,27,28,0.001,bounded_honeycomb_memory_EM3_v2,V,9,486,100000000,100000000,47193.58996325018,internal,2
18,27,28,0.001,bounded_honeycomb_memory_EM3_v2,V,9,486,100000000,100000000,50973.62470392122,internal_correlated,2
22,33,34,0.001,bounded_honeycomb_memory_EM3_v2,V,11,726,100000000,100000000,57086.44668721751,internal,2
22,33,34,0.001,bounded_honeycomb_memory_EM3_v2,V,11,726,100000000,100000000,65477.25530918079,internal_correlated,2
6,9,10,0.0015,bounded_honeycomb_memory_EM3_v2,V,3,54,602300,601143,20.208488324002246,internal,2
6,9,10,0.0015,bounded_honeycomb_memory_EM3_v2,V,3,54,1000000,998983,22.27974782999081,internal_correlated,2
10,15,16,0.0015,bounded_honeycomb_memory_EM3_v2,V,5,150,23302300,23301297,959.854051829534,internal,2
10,15,16,0.0015,bounded_honeycomb_memory_EM3_v2,V,5,150,100000000,99999041,5384.62973573849,internal_correlated,2
14,21,22,0.0015,bounded_honeycomb_memory_EM3_v2,V,7,294,100000000,99999915,7299.220524041186,internal,2
14,21,22,0.0015,bounded_honeycomb_memory_EM3_v2,V,7,294,100000000,99999984,10531.309713150127,internal_correlated,2
18,27,28,0.0015,bounded_honeycomb_memory_EM3_v2,V,9,486,100000000,99999999,19019.40411524175,internal,2
