data_width,data_height,rounds,noise,circuit_style,preserved_observable,code_distance,num_qubits,num_shots,num_correct,total_processing_seconds,decoder,version
16,33,48,0.007,bounded_honeycomb_memory_EM3_v2,-,16,1358,13136896,12369238,2.9889461640268564,detection_fraction,2
20,42,60,0.007,bounded_honeycomb_memory_EM3_v2,-,20,2148,26067968,24540516,4.82774045295082,detection_fraction,2
4,9,12,0.01,bounded_honeycomb_memory_EM3_v2,-,4,100,230400,212815,0.22675391903612763,detection_fraction,2
8,18,24,0.01,bounded_honeycomb_memory_EM3_v2,-,8,380,1811456,1665917,0.7625400950200856,detection_fraction,2
12,24,36,0.01,bounded_honeycomb_memory_EM3_v2,-,12,748,5391360,4953974,1.6116267599863932,detection_fraction,2
16,33,48,0.01,bounded_honeycomb_memory_EM3_v2,-,16,1358,13136896,12071988,3.2324098219978623,detection_fraction,2
20,42,60,0.01,bounded_honeycomb_memory_EM3_v2,-,20,2148,26067968,23952797,5.762709002010524,detection_fraction,2
4,9,12,0.015,bounded_honeycomb_memory_EM3_v2,-,4,100,230400,205003,0.18316876498283818,detection_fraction,2
8,18,24,0.015,bounded_honeycomb_memory_EM3_v2,-,8,380,1811456,1604110,0.762731411959976,detection_fraction,2
12,24,36,0.015,bounded_honeycomb_memory_EM3_v2,-,12,748,5391360,4766403,1.6382783830049448,detection_fraction,2
16,33,48,0.015,bounded_honeycomb_memory_EM3_v2,-,16,1358,13136896,11611996,3.493814945977647,detection_fraction,2
20,42,60,0.015,bounded_honeycomb_memory_EM3_v2,-,20,2148,26067968,23041946,4.889597847010009,detection_fraction,2
4,9,12,0.02,bounded_honeycomb_memory_EM3_v2,-,4,100,230400,198020,0.21482568403007463,detection_fraction,2
8,18,24,0.02,bounded_honeycomb_memory_EM3_v2,-,8,380,1811456,1547622,0.8114455480244942,detection_fraction,2
12,24,36,0.02,bounded_honeycomb_memory_EM3_v2,-,12,748,5391360,4596709,1.7286487789824605,detection_fraction,2
16,33,48,0.02,bounded_honeycomb_memory_EM3_v2,-,16,1358,13136896,11196309,3.6248568830196746,detection_fraction,2
20,42,60,0.02,bounded_honeycomb_memory_EM3_v2,-,20,2148,26067968,22211173,4.844183273962699,detection_fraction,2
4,9,12,0.03,bounded_honeycomb_memory_EM3_v2,-,4,100,230400,185908,0.18537810200359672,detection_fraction,2
8,18,24,0.03,bounded_honeycomb_memory_EM3_v2,-,8,380,1811456,1447901,0.8654122890438884,detection_fraction,2
12,24,36,0.03,bounded_honeycomb_memory_EM3_v2,-,12,748,5391360,4300129,1.5270004229969345,detection_fraction,2
16,33,48,0.03,bounded_honeycomb_memory_EM3_v2,-,16,1358,13136896,10476886,3.4792036279686727,detection_fraction,2
20,42,60,0.03,bounded_honeycomb_memory_EM3_v2,-,20,2148,26067968,20780371,5.086877052031923,detection_fraction,2
4,9,12,0.0001,bounded_honeycomb_memory_SD6,-,4,100,230400,229612,0.062121456023305655,detection_fraction,2
8,18,24,0.0001,bounded_honeycomb_memory_SD6,-,8,380,1811456,1803833,0.16890629701083526,detection_fraction,2
12,24,36,0.0001,bounded_honeycomb_memory_SD6,-,12,748,5391360,5366476,0.2805888950242661,detection_fraction,2
16,33,48,0.0001,bounded_honeycomb_memory_SD6,-,16,1358,13136896,13073605,0.5670701079652645,detection_fraction,2
20,42,60,0.0001,bounded_honeycomb_memory_SD6,-,20,2148,26067968,25942708,0.8505717299995013,detection_fraction,2
4,9,12,0.0002,bounded_honeycomb_memory_SD6,-,4,100,230400,228723,0.05799258901970461,detection_fraction,2
8,18,24,0.0002,bounded_honeycomb_memory_SD6,-,8,380,1811456,1795931,0.13934161700308323,detection_fraction,2
12,24,36,0.0002,bounded_honeycomb_memory_SD6,-,12,748,5391360,5341734,0.2761166050331667,detection_fraction,2
16,33,48,0.0002,bounded_honeycomb_memory_SD6,-,16,1358,13136896,13014152,0.6164912519743666,detection_fraction,2
20,42,60,0.0002,bounded_honeycomb_memory_SD6,-,20,2148,26067968,25818839,0.8467472110060044,detection_fraction,2
4,9,12,0.0003,bounded_honeycomb_memory_SD6,-,4,100,230400,228006,0.045221594045870006,detection_fraction,2
8,18,24,0.0003,bounded_honeycomb_memory_SD6,-,8,380,1811456,1788078,0.14292737405048683,detection_fraction,2
12,24,36,0.0003,bounded_honeycomb_memory_SD6,-,12,748,5391360,5318878,0.28619875898584723,detection_fraction,2
16,33,48,0.0003,bounded_honeycomb_memory_SD6,-,16,1358,13136896,12952776,0.6048073570127599,detection_fraction,2
20,42,60,0.0003,bounded_honeycomb_memory_SD6,-,20,2148,26067968,25696858,0.818415163026657,detection_fraction,2
4,9,12,0.0005,bounded_honeycomb_memory_SD6,-,4,100,230400,226530,0.07163992297137156,detection_fraction,2
8,18,24,0.0005,bounded_honeycomb_memory_SD6,-,8,380,1811456,1773189,0.17035308701451868,detection_fraction,2
12,24,36,0.0005,bounded_honeycomb_memory_SD6,-,12,748,5391360,5271800,0.2851967760361731,detection_fraction,2
16,33,48,0.0005,bounded_honeycomb_memory_SD6,-,16,1358,13136896,12833081,0.5036030089831911,detection_fraction,2
20,42,60,0.0005,bounded_honeycomb_memory_SD6,-,20,2148,26067968,25454425,0.8930525999749079,detection_fraction,2
4,9,12,0.0007,bounded_honeycomb_memory_SD6,-,4,100,230400,224711,0.05547357100294903,detection_fraction,2
8,18,24,0.0007,bounded_honeycomb_memory_SD6,-,8,380,1811456,1758734,0.14222694595810026,detection_fraction,2
12,24,36,0.0007,bounded_honeycomb_memory_SD6,-,12,748,5391360,5224405,0.2834256769856438,detection_fraction,2
16,33,48,0.0007,bounded_honeycomb_memory_SD6,-,16,1358,13136896,12716647,0.6569284180295654,detection_fraction,2
20,42,60,0.0007,bounded_honeycomb_memory_SD6,-,20,2148,26067968,25220321,0.8733881329535507,detection_fraction,2
4,9,12,0.001,bounded_honeycomb_memory_SD6,-,4,100,230400,222694,0.06425869499798864,detection_fraction,2
8,18,24,0.001,bounded_honeycomb_memory_SD6,-,8,380,1811456,1737904,0.20667178195435554,detection_fraction,2
12,24,36,0.001,bounded_honeycomb_memory_SD6,-,12,748,5391360,5157326,0.2865284680156037,detection_fraction,2
16,33,48,0.001,bounded_honeycomb_memory_SD6,-,16,1358,13136896,12544257,0.520090350008104,detection_fraction,2
20,42,60,0.001,bounded_honeycomb_memory_SD6,-,20,2148,26067968,24874470,0.8843156339717098,detection_fraction,2
4,9,12,0.0015,bounded_honeycomb_memory_SD6,-,4,100,230400,218861,0.04861638299189508,detection_fraction,2
8,18,24,0.0015,bounded_honeycomb_memory_SD6,-,8,380,1811456,1702847,0.1558363209478557,detection_fraction,2
12,24,36,0.0015,bounded_honeycomb_memory_SD6,-,12,748,5391360,5050419,0.3748787440126762,detection_fraction,2
16,33,48,0.0015,bounded_honeycomb_memory_SD6,-,16,1358,13136896,12276643,0.6583009799942374,detection_fraction,2
20,42,60,0.0015,bounded_honeycomb_memory_SD6,-,20,2148,26067968,24323756,0.9381587730022147,detection_fraction,2
4,9,12,0.002,bounded_honeycomb_memory_SD6,-,4,100,230400,215694,0.05323554202914238,detection_fraction,2
8,18,24,0.002,bounded_honeycomb_memory_SD6,-,8,380,1811456,1668805,0.14127497497247532,detection_fraction,2
12,24,36,0.002,bounded_honeycomb_memory_SD6,-,12,748,5391360,4945722,0.29842317500151694,detection_fraction,2
16,33,48,0.002,bounded_honeycomb_memory_SD6,-,16,1358,13136896,12018370,0.5306856060051359,detection_fraction,2
20,42,60,0.002,bounded_honeycomb_memory_SD6,-,20,2148,26067968,23804369,0.8388358390075155,detection_fraction,2
4,9,12,0.003,bounded_honeycomb_memory_SD6,-,4,100,230400,208742,0.04609775001881644,detection_fraction,2
8,18,24,0.003,bounded_honeycomb_memory_SD6,-,8,380,1811456,1608785,0.1468905300134793,detection_fraction,2
12,24,36,0.003,bounded_honeycomb_memory_SD6,-,12,748,5391360,4758595,0.2912398399785161,detection_fraction,2
16,33,48,0.003,bounded_honeycomb_memory_SD6,-,16,1358,13136896,11539351,0.5421362339984626,detection_fraction,2
20,42,60,0.003,bounded_honeycomb_memory_SD6,-,20,2148,26067968,22846594,0.8864594860351644,detection_fraction,2
4,9,12,0.005,bounded_honeycomb_memory_SD6,-,4,100,230400,197754,0.05031180998776108,detection_fraction,2
8,18,24,0.005,bounded_honeycomb_memory_SD6,-,8,380,1811456,1504566,0.18535429704934359,detection_fraction,2
12,24,36,0.005,bounded_honeycomb_memory_SD6,-,12,748,5391360,4430254,0.3086043680086732,detection_fraction,2
16,33,48,0.005,bounded_honeycomb_memory_SD6,-,16,1358,13136896,10725865,0.5757395760156214,detection_fraction,2
20,42,60,0.005,bounded_honeycomb_memory_SD6,-,20,2148,26067968,21208186,0.9628364680102095,detection_fraction,2
4,9,12,0.007,bounded_honeycomb_memory_SD6,-,4,100,230400,187809,0.0467612289940007,detection_fraction,2
